state_name,year,total_requirement_mu,total_availability_mu,total_deficit_mu,total_gen_mu,avg_capacity_mw,total_renew_gen_mu,total_solar_gen_mu,total_wind_gen_mu,total_other_gen_mu,avg_coal_stock_days,avg_normative_coal_stock_days,avg_req_normative_coal_stock_tonnes,avg_import_coal_stock_tonnes,avg_indigenous_coal_stock_tonnes,avg_coal_plf_prcnt,avg_actual_vs_norm_coal_stock_prcnt,total_coal_consumption_tonnes,total_coal_receipt_tonnes,total_coal_requirement_tonnes,avg_actual_coal_stock_tonnes,total_coal_stock_critical_incidents,yearly_avg_total_outage_mw,yearly_avg_fresh_outage_mw,total_energy_lost_mwh,total_fresh_incidents,avg_total_capacity_mw,avg_thermal_capacity_mw,avg_nuclear_capacity__mw,avg_hydro_capacity__mw,avg_res_capacity_mw,coal_reserves_mt,coal_production_mt,coal_consumption_power_mt,total_coal_import_mt,avg_import_priceRs,total_amountCr
kerala,2017,,,,1808.6099999999997,151.47294117647067,,,,,,,,,,,,,,,,,556.2386883574342,556.2386883574342,1546224.0,68.0,2905.63,693.54,330.59000000000003,0.0,1881.5,9.65,,0.02,195.33,9115.735294117645,105676.64000000001
odisha,2024,,,,69577.46999999999,372.4416408724258,909.4399999999999,724.03,0.0,185.41000000000003,,19.976190476190478,366.9019285714285,0.005631124529900952,368.3234149628335,40.98799541818953,56.424508722213396,49045.73000000001,48894.83,52283.33999999994,368.3290501924537,233.0,1366.3921950315164,246.8468050920776,11730720.0,497.0,12385.647777777776,9546.666666666666,0.0,2154.5499999999997,684.4311111111111,,,,,,
andaman and nicobar islands,2020,,,,105.11999999999998,40.04999999999997,,,,,,,,,,,,,,,,,0.0,0.0,0.0,10.0,64.58583333333333,40.050000000000004,24.53583333333333,0.0,0.0,,,,251.43999999999994,11834.991206896555,158865.22999999992
ladakh,2020,,,,315.1199999999999,44.5,,,,,,,,,,,,,,,,,26.770163144234335,26.770163144234335,161016.0,20.0,89.0,0.0,0.0,0.0,89.0,,,,251.43999999999994,11834.991206896555,158865.22999999992
nagaland,2017,,,,111.44999999999999,75.0,,,,,,,,,,,,,,,,,25.201612903225808,25.201612903225808,25200.0,4.0,105.67,0.0,30.67,0.0,75.0,410.45,,,195.33,9115.735294117645,105676.64000000001
jharkhand,2024,,,,37145.990000000005,250.16479751992242,8.67,2.7399999999999998,0.0,5.93,,22.53125,195.6065538754481,0.11534789812754913,196.22816642720306,41.33973038660681,61.04676687059695,26194.020000000004,27024.620000000006,26474.380000000005,196.34352474199727,236.0,454.7174020516624,196.94699357310586,3581280.0,391.0,5886.391111111112,5496.666666666667,0.0,210.0,179.72444444444443,,,,,,
jammu and kashmir,2024,,,,13883.619999999997,321.36363636363643,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1072.7398189346188,1072.7398189346188,8661000.0,132.0,3774.46,175.0,0.0,3360.0,239.45999999999998,,,,,,
uttarakhand,2018,,,,14268.689999999995,205.57349624060126,,,,,,,,,,,,,,,,,654.1714730542753,654.1714730542753,5733038.3999999985,246.0,4776.900000000001,450.0,570.5500000000001,0.0,3756.349999999999,,,0.2,212.82999999999998,11956.519459459461,147641.1
tamil nadu,2025,,,,20617.63000000005,218.39394506232665,,,,,,25.333333333333332,349.6752643582838,51.60243073953765,174.0459262842911,48.71108090604946,55.87410632693652,7180.899999999998,7026.799999999998,10595.399999999998,225.64416543158686,98.0,4648.1748973607055,4648.1748973607055,8610240.96,275.0,,,,,,,,,,,
karnataka,2019,,,,44063.78000000002,313.5602150537638,3587.3500000000004,1952.33,982.6299999999999,652.3900000000001,19.21770993343574,30.0,0.0,10.565431483614953,280.65636507936506,28.88617322708653,,0.0,0.0,22739.030000000017,291.66403371415765,20.0,6384.972823860727,658.8354710701483,55424150.4,661.0,28151.975833333334,9579.819999999998,14047.955833333332,880.0,3644.1999999999994,,,13.62,240.31999999999994,13575.234848484848,183025.28999999995
puducherry,2019,,,,238.08,32.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.08736559139784945,0.08736559139784945,780.0,12.0,35.83083333333333,32.5,3.330833333333334,0.0,0.0,416.61,,,240.31999999999994,13575.234848484848,183025.28999999995
himachal pradesh,2018,,,,34752.810000000005,347.3230140413469,,,,,,,,,,,,,,,,,1561.3426193676396,1561.3426193676396,13676084.879999997,335.0,10542.938333333335,0.0,857.085,0.0,9685.853333333336,,,,212.82999999999998,11956.519459459461,147641.1
andaman and nicobar islands,2023,,,,350.40000000000003,46.35500000000002,,,,,,,,,,,,,,,,,0.0,0.0,0.0,24.0,127.86999999999996,92.71000000000002,0.0,0.0,35.15999999999999,,,,241.26999999999998,24663.886199999997,397159.38
kerala,2019,,,,5549.790000000001,141.66888888888897,28.199999999999996,12.590000000000002,15.570000000000002,0.04,,,,,,,,,,,,,903.5102604966715,903.5102604966715,7840725.119999997,216.0,2970.019166666667,693.54,419.9791666666666,0.0,1856.5,9.65,,,240.31999999999994,13575.234848484848,183025.28999999995
tamil nadu,2024,,,,92452.03000000004,223.12128740640722,28018.619999999995,11721.19,16297.429999999998,0.0,,23.583333333333332,348.52577631040117,67.2608863627633,146.0307904529378,29.543326061432268,36.8499624945567,46675.36,48185.97999999999,63770.46999999999,213.2902621986368,551.0,5006.457625757014,2106.4031238413045,40753003.2,1701.0,40293.329999999994,15337.880000000001,2440.0,2178.2000000000003,20337.250000000004,,,,,,
bhutan,2025,,,,536.84,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,17.0,,,,,,,,,,,
haryana,2017,,,,8668.039999999999,426.54214285714266,,,,,,,,,,,,,,,,,2179.0530923248057,389.0223173896924,6252057.6000000015,101.0,6337.68,5971.59,366.09000000000003,0.0,0.0,,,11.809999999999999,195.33,9115.735294117645,105676.64000000001
telangana,2025,,,,14256.780000000006,374.6167697139462,,,,,,24.25,369.29166666666646,0.0,333.83165123456774,61.88086419753086,78.64645061728395,6533.700000000002,6654.999999999998,7738.200000000007,333.83165123456774,60.0,1734.778615835777,1734.778615835777,3282321.6,101.0,,,,,,,,,,,
west bengal,2024,,,,89644.92000000001,245.19476616091166,175.29999999999998,125.70000000000002,0.0,49.599999999999994,,23.057291666666668,256.23185069444423,0.6383652418582374,162.4270344306174,39.246569094904835,32.18031651487764,61100.26000000001,60827.36000000001,66997.78,163.06539659227846,983.0,2118.6814856012857,769.1723566308243,17397710.400000002,1024.0,15561.841111111113,13567.0,0.0,1341.2,653.6411111111112,,,,,,
karnataka,2024,,,,59122.949999999975,319.87272727272756,26145.420000000002,13621.449999999999,9359.93,3164.0399999999995,,23.583333333333332,424.0379523809523,75.5573321636033,209.23885083072904,26.538153781979975,33.28283772533856,29173.650000000005,29417.38,46054.71000000003,284.7954631512968,580.0,3444.4536583858608,1642.1267828451364,28748623.199999996,737.0,32466.50888888889,9505.199999999999,880.0,3689.2000000000003,18392.108888888888,,,,,,
mizoram,2019,,,,161.73,60.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,6.2425115207373265,6.2425115207373265,54000.0,12.0,97.43,0.0,37.43,0.0,60.0,,,,240.31999999999994,13575.234848484848,183025.28999999995
odisha,2025,,,,16752.84000000001,359.412442607897,,,,,,21.9973604826546,359.2273378582206,0.0,317.7975085190771,70.44198648120216,87.16534690799396,8169.7,8638.2,8588.399999999985,317.7975085190771,109.0,1099.7169110459433,1099.7169110459433,2064480.0,101.0,,,,,,,,,,,
uttarakhand,2017,,,,5068.589999999995,221.38684210526293,,,,,,,,,,,,,,,,,268.07695564516126,268.07695564516126,714559.2,76.0,4733.03,450.0,526.68,0.0,3756.35,,,0.36,195.33,9115.735294117645,105676.64000000001
uttar pradesh,2024,,,,155708.31000000008,295.6085960516729,4066.7200000000003,4020.4700000000003,0.0,43.550000000000004,,21.8925315912158,352.67265922606754,2.9436374273762316,309.7731737195118,34.529662824847094,49.29272758723608,104379.40000000001,106495.42000000001,123887.3400000002,312.71637516555074,57.0,4619.702146675317,2778.7017758929674,36271057.199999996,1773.0,32967.44888888888,26741.473333333342,440.0,501.59999999999997,5284.375555555556,,,,,,
